Facility Fluid,IT Fluid,Heat Rate (kW),UA (W/K),Hot Inlet Temp (C),Hot Outlet Temp (C),Cold Inlet Temp (C),Cold Outlet Temp (C),Hot Mass Flow (kg/s),Cold Mass Flow (kg/s)
air,515,250.0,34402.228456172634,43.04524954888518,33.56118613431482,30.0,40.0,2.969929293264458,24.838751775488653
air,515,250.0,34162.84753605191,53.04738165034911,43.27047231103006,40.0,50.0,3.1299456337636133,24.828181743180966
air,515,250.0,33346.74206924928,63.13298041715251,52.996573738129996,50.0,60.0,3.328612144165722,24.815613804755795
air,515,500.0,70589.49106096472,22.953672526241576,13.96890334745359,10.0,20.0,5.450300106857773,49.70798452448173
air,515,500.0,69108.67652444703,33.0491452237556,23.817438401086747,20.0,30.0,5.674791238142628,49.69469491748554
air,515,500.0,69989.30542857126,42.95053925833872,33.499632120251476,30.0,40.0,5.939858586528916,49.677503550977306
air,515,500.0,68330.30509291713,53.04700432270312,43.270235333655364,40.0,50.0,6.259891267527227,49.65636348636193
air,515,500.0,66694.66778516337,63.13287965853658,52.99651264999011,50.0,60.0,6.657224288331444,49.63122760951159
air,515,1000.0,138703.6387597156,23.05238062526786,14.036733981321845,10.0,20.0,10.900600213715546,99.41596904896346
air,515,1000.0,138273.96144257163,33.046840791590625,23.815895046372077,20.0,30.0,11.349582476285256,99.38938983497108
air,515,1000.0,139918.82749475777,42.95288306043835,33.50115549953307,30.0,40.0,11.879717173057832,99.35500710195461
air,515,1000.0,136641.7536699281,53.04777608302214,43.27072003097305,40.0,50.0,12.519782535054453,99.31272697272387
air,515,1000.0,133390.52284374484,63.13282912640432,52.99648201326539,50.0,60.0,13.314448576662889,99.26245521902318
pg25,pg25,100.0,32987.389676580846,22.999826119700856,13.081663483389434,10.0,20.0,2.5718899917931917,2.5718899917931917
pg25,pg25,100.0,32989.520628460225,32.99982833384996,23.08115643243832,20.0,30.0,2.5556686942697078,2.5556686942697078
pg25,pg25,100.0,32991.62084321001,42.9998305012038,33.08065675156814,30.0,40.0,2.5396502377203998,2.5396502377203998
pg25,pg25,100.0,32993.690909818404,52.99983262303033,43.0801642982093,40.0,50.0,2.523830625357267,2.523830625357267
pg25,pg25,100.0,32995.73140237267,62.999834700555255,53.07967893343431,50.0,60.0,2.5082059644375745,2.5082059644375745
pg25,pg25,250.0,82465.66654700406,22.999929329512327,13.081767337629174,10.0,20.0,6.429724979482979,6.429724979482979
pg25,pg25,250.0,82471.02896727323,32.99993024234976,23.081258973319507,20.0,30.0,6.389171735674269,6.389171735674269
pg25,pg25,250.0,82476.31381704762,42.99993113565915,33.080758006682345,30.0,40.0,6.349125594300999,6.349125594300999
pg25,pg25,250.0,82481.52258814525,52.99993200997653,43.08026429440537,40.0,50.0,6.3095765633931675,6.3095765633931675
pg25,pg25,250.0,82486.65673450129,62.999932865819574,53.07977769684271,50.0,60.0,6.270514911093937,6.270514911093937
pg25,pg25,500.0,164931.2227231609,22.999931358214667,13.081769378998445,10.0,20.0,12.859449958965959,12.859449958965959
pg25,pg25,500.0,164941.94894117178,32.99993224547251,23.081260988872373,20.0,30.0,12.778343471348538,12.778343471348538
